"Lengte en gewicht van personen, ondergewicht en overgewicht; vanaf 1981"
"";"";"";"Onderwerpen";"Onder- en overgewicht, 4 jaar of ouder";"Onder- en overgewicht, 4 jaar of ouder";"Onder- en overgewicht, 4 jaar of ouder";"Onder- en overgewicht, 4 jaar of ouder";"Onder- en overgewicht, 4 jaar of ouder"
"Mannen";"40 tot 50 jaar";"Percentages/gemiddelden";"1986";"0.5";"49.8";"49.7";"44.7";"5.0"
"Mannen";"40 tot 50 jaar";"Percentages/gemiddelden";"1987";"0.0";"51.9";"48.1";"41.8";"6.3"
"Mannen";"40 tot 50 jaar";"Percentages/gemiddelden";"1988";"0.2";"56.0";"43.8";"39.3";"4.5"
"Mannen";"40 tot 50 jaar";"Percentages/gemiddelden";"1989";"1.1";"52.8";"46.1";"40.1";"6.0"
"Mannen";"40 tot 50 jaar";"Percentages/gemiddelden";"1990";"1.1";"54.0";"45.0";"38.5";"6.5"
"Mannen";"40 tot 50 jaar";"Percentages/gemiddelden";"1991";"0.2";"51.7";"48.1";"41.2";"6.9"
"Mannen";"40 tot 50 jaar";"Percentages/gemiddelden";"1992";"1.0";"49.4";"49.6";"42.5";"7.1"
"Mannen";"40 tot 50 jaar";"Percentages/gemiddelden";"1993";"0.5";"50.2";"49.2";"41.3";"7.9"
"Mannen";"40 tot 50 jaar";"Percentages/gemiddelden";"1994";"0.3";"51.2";"48.5";"39.7";"8.8"
"Mannen";"40 tot 50 jaar";"Percentages/gemiddelden";"1995";"0.5";"52.9";"46.6";"39.8";"6.7"
"Mannen";"40 tot 50 jaar";"Percentages/gemiddelden";"1996";"0.7";"51.3";"48.0";"41.4";"6.6"
"Mannen";"40 tot 50 jaar";"Percentages/gemiddelden";"1997";"0.5";"48.7";"50.8";"42.5";"8.3"
"Mannen";"40 tot 50 jaar";"Percentages/gemiddelden";"1998";"0.3";"50.2";"49.4";"41.6";"7.8"
"Mannen";"40 tot 50 jaar";"Percentages/gemiddelden";"1999";"0.4";"48.5";"51.1";"41.5";"9.5"
"Mannen";"40 tot 50 jaar";"Percentages/gemiddelden";"2000";"0.1";"45.1";"54.8";"44.1";"10.7"
"Mannen";"40 tot 50 jaar";"Percentages/gemiddelden";"2001";"0.4";"42.6";"57.0";"46.4";"10.6"
"Mannen";"40 tot 50 jaar";"Percentages/gemiddelden";"2002";"0.6";"44.8";"54.5";"46.0";"8.6"
"Mannen";"40 tot 50 jaar";"Percentages/gemiddelden";"2003";"0.2";"47.8";"52.0";"42.6";"9.4"
"Mannen";"40 tot 50 jaar";"Percentages/gemiddelden";"2004";"0.4";"46.5";"53.1";"40.3";"12.8"
"Mannen";"40 tot 50 jaar";"Percentages/gemiddelden";"2005";"0.5";"48.1";"51.4";"40.6";"10.8"
"Mannen";"40 tot 50 jaar";"Percentages/gemiddelden";"2006";"0.1";"45.8";"54.1";"43.7";"10.4"
"Mannen";"40 tot 50 jaar";"Percentages/gemiddelden";"2007";"0.5";"43.9";"55.6";"45.2";"10.4"
"Mannen";"40 tot 50 jaar";"Percentages/gemiddelden";"2008";"0.5";"45.2";"54.2";"42.7";"11.5"
"Mannen";"40 tot 50 jaar";"Percentages/gemiddelden";"2009";"0.5";"42.9";"56.6";"45.1";"11.4"
"Mannen";"40 tot 50 jaar";"Percentages/gemiddelden";"2010";"0.6";"38.7";"60.7";"48.8";"11.9"
"Mannen";"40 tot 50 jaar";"Percentages/gemiddelden";"2011";"0.2";"39.9";"59.9";"49.9";"10.0"
"Mannen";"40 tot 50 jaar";"Percentages/gemiddelden";"2012";"1.0";"41.5";"57.5";"45.7";"11.8"
"Mannen";"40 tot 50 jaar";"Percentages/gemiddelden";"2013";"0.7";"43.1";"56.2";"46.2";"10.0"
"Mannen";"40 tot 50 jaar";"Percentages/gemiddelden";"2014";"0.5";"39.1";"60.5";"47.1";"13.4"
"Mannen";"40 tot 50 jaar";"Percentages/gemiddelden";"2015";"0.2";"41.5";"58.3";"42.8";"15.4"
"Mannen";"40 tot 50 jaar";"Percentages/gemiddelden";"2016";"0.3";"40.6";"59.1";"47.2";"11.9"
"Mannen";"50 tot 55 jaar";"Percentages/gemiddelden";"1981";"0.3";"49.8";"49.9";"46.4";"3.5"
"Mannen";"50 tot 55 jaar";"Percentages/gemiddelden";"1982";"1.5";"49.1";"49.4";"44.0";"5.4"
"Mannen";"50 tot 55 jaar";"Percentages/gemiddelden";"1983";"0.4";"46.6";"53.0";"43.5";"9.4"
"Mannen";"50 tot 55 jaar";"Percentages/gemiddelden";"1984";"1.0";"46.7";"52.3";"46.8";"5.5"
"Mannen";"50 tot 55 jaar";"Percentages/gemiddelden";"1985";"0.4";"55.1";"44.5";"39.9";"4.6"
"Mannen";"50 tot 55 jaar";"Percentages/gemiddelden";"1986";"1.0";"51.6";"47.4";"41.2";"6.3"
"Mannen";"50 tot 55 jaar";"Percentages/gemiddelden";"1987";"2.0";"52.3";"45.7";"41.0";"4.7"
"Mannen";"50 tot 55 jaar";"Percentages/gemiddelden";"1988";"0.0";"45.2";"54.8";"46.1";"8.7"
"Mannen";"50 tot 55 jaar";"Percentages/gemiddelden";"1989";"0.0";"48.2";"51.8";"44.3";"7.6"
"Mannen";"50 tot 55 jaar";"Percentages/gemiddelden";"1990";"0.5";"46.2";"53.3";"46.5";"6.8"
"Mannen";"50 tot 55 jaar";"Percentages/gemiddelden";"1991";"0.6";"41.3";"58.1";"50.6";"7.4"
"Mannen";"50 tot 55 jaar";"Percentages/gemiddelden";"1992";"0.8";"44.6";"54.6";"46.6";"8.0"
"Mannen";"50 tot 55 jaar";"Percentages/gemiddelden";"1993";"1.5";"46.6";"51.8";"43.8";"8.0"
"Mannen";"50 tot 55 jaar";"Percentages/gemiddelden";"1994";"0.0";"42.5";"57.5";"47.7";"9.8"
"Mannen";"50 tot 55 jaar";"Percentages/gemiddelden";"1995";"0.4";"45.0";"54.6";"46.1";"8.5"
"Mannen";"50 tot 55 jaar";"Percentages/gemiddelden";"1996";"0.5";"41.2";"58.4";"46.1";"12.2"
"Mannen";"50 tot 55 jaar";"Percentages/gemiddelden";"1997";"0.7";"41.0";"58.3";"49.9";"8.4"
"Mannen";"50 tot 55 jaar";"Percentages/gemiddelden";"1998";"1.1";"39.4";"59.5";"48.5";"11.0"
"Mannen";"50 tot 55 jaar";"Percentages/gemiddelden";"1999";"0.2";"42.7";"57.1";"45.4";"11.7"
"Mannen";"50 tot 55 jaar";"Percentages/gemiddelden";"2000";"0.5";"35.3";"64.2";"50.9";"13.3"
"Mannen";"50 tot 55 jaar";"Percentages/gemiddelden";"2001";"0.3";"37.2";"62.5";"51.6";"10.9"
"Mannen";"50 tot 55 jaar";"Percentages/gemiddelden";"2002";"0.3";"37.7";"62.0";"49.1";"12.9"
"Mannen";"50 tot 55 jaar";"Percentages/gemiddelden";"2003";"0.6";"34.7";"64.7";"50.4";"14.3"
"Mannen";"50 tot 55 jaar";"Percentages/gemiddelden";"2004";"0.5";"39.1";"60.4";"45.7";"14.7"
"Mannen";"50 tot 55 jaar";"Percentages/gemiddelden";"2005";"0.5";"43.9";"55.6";"44.3";"11.3"
"Mannen";"50 tot 55 jaar";"Percentages/gemiddelden";"2006";"1.3";"43.0";"55.7";"41.4";"14.3"
"Mannen";"50 tot 55 jaar";"Percentages/gemiddelden";"2007";"1.5";"35.4";"63.1";"48.8";"14.2"
"Mannen";"50 tot 55 jaar";"Percentages/gemiddelden";"2008";"0.6";"38.0";"61.4";"50.2";"11.1"
"Mannen";"50 tot 55 jaar";"Percentages/gemiddelden";"2009";"1.2";"34.6";"64.2";"46.3";"17.9"
"Mannen";"50 tot 55 jaar";"Percentages/gemiddelden";"2010";"0.7";"39.9";"59.4";"47.9";"11.5"
"Mannen";"50 tot 55 jaar";"Percentages/gemiddelden";"2011";"0.4";"36.2";"63.4";"48.7";"14.7"
"Mannen";"50 tot 55 jaar";"Percentages/gemiddelden";"2012";"0.2";"41.1";"58.8";"45.9";"12.8"
"Mannen";"50 tot 55 jaar";"Percentages/gemiddelden";"2013";"0.0";"37.7";"62.3";"50.2";"12.1"
"Mannen";"50 tot 55 jaar";"Percentages/gemiddelden";"2014";"0.9";"36.1";"63.0";"50.0";"13.0"
"Mannen";"50 tot 55 jaar";"Percentages/gemiddelden";"2015";"0.4";"37.7";"62.0";"48.4";"13.5"
"Mannen";"50 tot 55 jaar";"Percentages/gemiddelden";"2016";"0.6";"38.3";"61.0";"42.8";"18.2"
"Mannen";"55 tot 65 jaar";"Percentages/gemiddelden";"1981";"0.3";"49.1";"50.6";"44.5";"6.1"
"Mannen";"55 tot 65 jaar";"Percentages/gemiddelden";"1982";"0.4";"46.7";"52.9";"48.6";"4.3"
"Mannen";"55 tot 65 jaar";"Percentages/gemiddelden";"1983";"1.1";"47.5";"51.4";"47.1";"4.3"
"Mannen";"55 tot 65 jaar";"Percentages/gemiddelden";"1984";"1.0";"47.3";"51.6";"48.0";"3.6"
"Mannen";"55 tot 65 jaar";"Percentages/gemiddelden";"1985";"0.9";"48.0";"51.2";"45.9";"5.3"
"Mannen";"55 tot 65 jaar";"Percentages/gemiddelden";"1986";"0.8";"48.6";"50.5";"44.5";"6.0"
"Mannen";"55 tot 65 jaar";"Percentages/gemiddelden";"1987";"0.7";"47.2";"52.1";"46.3";"5.8"
"Mannen";"55 tot 65 jaar";"Percentages/gemiddelden";"1988";"0.6";"44.4";"55.0";"53.1";"1.9"
"Mannen";"55 tot 65 jaar";"Percentages/gemiddelden";"1989";"0.3";"42.7";"57.0";"49.4";"7.6"
"Mannen";"55 tot 65 jaar";"Percentages/gemiddelden";"1990";"1.0";"45.7";"53.3";"45.9";"7.4"
"Mannen";"55 tot 65 jaar";"Percentages/gemiddelden";"1991";"0.9";"45.4";"53.7";"46.2";"7.5"
"Mannen";"55 tot 65 jaar";"Percentages/gemiddelden";"1992";"0.3";"45.5";"54.2";"47.4";"6.9"
"Mannen";"55 tot 65 jaar";"Percentages/gemiddelden";"1993";"0.5";"46.5";"53.0";"46.0";"7.0"
"Mannen";"55 tot 65 jaar";"Percentages/gemiddelden";"1994";"0.2";"39.2";"60.5";"49.9";"10.7"
"Mannen";"55 tot 65 jaar";"Percentages/gemiddelden";"1995";"1.3";"43.9";"54.8";"46.3";"8.5"
"Mannen";"55 tot 65 jaar";"Percentages/gemiddelden";"1996";"0.8";"41.4";"57.8";"49.0";"8.8"
"Mannen";"55 tot 65 jaar";"Percentages/gemiddelden";"1997";"0.6";"42.3";"57.1";"45.8";"11.3"
"Mannen";"55 tot 65 jaar";"Percentages/gemiddelden";"1998";"0.2";"42.0";"57.8";"50.3";"7.5"
"Mannen";"55 tot 65 jaar";"Percentages/gemiddelden";"1999";"0.3";"39.0";"60.6";"48.9";"11.8"
"Mannen";"55 tot 65 jaar";"Percentages/gemiddelden";"2000";"0.5";"37.8";"61.7";"50.1";"11.5"
"Mannen";"55 tot 65 jaar";"Percentages/gemiddelden";"2001";"0.8";"40.4";"58.8";"46.3";"12.4"
"Mannen";"55 tot 65 jaar";"Percentages/gemiddelden";"2002";"0.8";"33.5";"65.7";"50.0";"15.7"
"Mannen";"55 tot 65 jaar";"Percentages/gemiddelden";"2003";"0.5";"36.4";"63.1";"50.4";"12.7"
"Mannen";"55 tot 65 jaar";"Percentages/gemiddelden";"2004";"0.2";"36.2";"63.6";"49.5";"14.1"
"Mannen";"55 tot 65 jaar";"Percentages/gemiddelden";"2005";"0.4";"32.0";"67.6";"51.9";"15.7"
"Mannen";"55 tot 65 jaar";"Percentages/gemiddelden";"2006";"0.4";"36.6";"63.0";"48.8";"14.2"
"Mannen";"55 tot 65 jaar";"Percentages/gemiddelden";"2007";"0.5";"37.7";"61.8";"47.9";"14.0"
"Mannen";"55 tot 65 jaar";"Percentages/gemiddelden";"2008";"0.8";"34.4";"64.7";"49.6";"15.2"
"Mannen";"55 tot 65 jaar";"Percentages/gemiddelden";"2009";"0.6";"37.2";"62.3";"49.1";"13.2"
"Mannen";"55 tot 65 jaar";"Percentages/gemiddelden";"2010";"0.4";"35.1";"64.5";"49.8";"14.7"
"Mannen";"55 tot 65 jaar";"Percentages/gemiddelden";"2011";"0.3";"37.5";"62.2";"48.2";"14.0"
"Mannen";"55 tot 65 jaar";"Percentages/gemiddelden";"2012";"0.1";"35.8";"64.1";"49.6";"14.4"
"Mannen";"55 tot 65 jaar";"Percentages/gemiddelden";"2013";"0.3";"38.2";"61.5";"47.3";"14.1"
"Mannen";"55 tot 65 jaar";"Percentages/gemiddelden";"2014";"0.2";"33.0";"66.8";"50.6";"16.2"
"Mannen";"55 tot 65 jaar";"Percentages/gemiddelden";"2015";"0.1";"35.2";"64.6";"49.6";"15.0"
"Mannen";"55 tot 65 jaar";"Percentages/gemiddelden";"2016";"0.2";"37.3";"62.5";"47.8";"14.7"
"Mannen";"65 tot 75 jaar";"Percentages/gemiddelden";"1981";"0.3";"52.5";"47.2";"42.5";"4.7"
"Mannen";"65 tot 75 jaar";"Percentages/gemiddelden";"1982";"1.7";"52.4";"45.9";"41.4";"4.5"
"Mannen";"65 tot 75 jaar";"Percentages/gemiddelden";"1983";"0.0";"52.2";"47.8";"41.4";"6.5"
"Mannen";"65 tot 75 jaar";"Percentages/gemiddelden";"1984";"0.3";"45.5";"54.2";"45.1";"9.1"
"Mannen";"65 tot 75 jaar";"Percentages/gemiddelden";"1985";"0.5";"43.4";"56.0";"50.3";"5.8"
"Mannen";"65 tot 75 jaar";"Percentages/gemiddelden";"1986";"1.2";"50.8";"48.1";"43.0";"5.0"
"Mannen";"65 tot 75 jaar";"Percentages/gemiddelden";"1987";"0.0";"48.6";"51.4";"43.0";"8.4"
"Mannen";"65 tot 75 jaar";"Percentages/gemiddelden";"1988";"0.7";"47.3";"52.0";"45.7";"6.3"
"Mannen";"65 tot 75 jaar";"Percentages/gemiddelden";"1989";"0.6";"50.9";"48.5";"43.1";"5.3"
"Mannen";"65 tot 75 jaar";"Percentages/gemiddelden";"1990";"1.3";"52.2";"46.5";"39.3";"7.2"
"Mannen";"65 tot 75 jaar";"Percentages/gemiddelden";"1991";"1.4";"47.3";"51.3";"45.7";"5.5"
"Mannen";"65 tot 75 jaar";"Percentages/gemiddelden";"1992";"0.9";"46.2";"52.9";"47.2";"5.7"
"Mannen";"65 tot 75 jaar";"Percentages/gemiddelden";"1993";"0.6";"46.7";"52.7";"45.3";"7.4"
"Mannen";"65 tot 75 jaar";"Percentages/gemiddelden";"1994";"0.9";"41.6";"57.5";"47.9";"9.6"
"Mannen";"65 tot 75 jaar";"Percentages/gemiddelden";"1995";"0.3";"48.8";"50.9";"44.3";"6.6"
"Mannen";"65 tot 75 jaar";"Percentages/gemiddelden";"1996";"1.0";"39.2";"59.8";"54.3";"5.5"
"Mannen";"65 tot 75 jaar";"Percentages/gemiddelden";"1997";"0.9";"39.9";"59.2";"50.6";"8.6"
"Mannen";"65 tot 75 jaar";"Percentages/gemiddelden";"1998";"0.7";"49.8";"49.4";"40.8";"8.6"
"Mannen";"65 tot 75 jaar";"Percentages/gemiddelden";"1999";"0.6";"41.6";"57.9";"51.0";"6.9"
"Mannen";"65 tot 75 jaar";"Percentages/gemiddelden";"2000";"0.0";"40.5";"59.5";"48.0";"11.5"
"Mannen";"65 tot 75 jaar";"Percentages/gemiddelden";"2001";"1.0";"41.9";"57.1";"47.1";"10.0"
"Mannen";"65 tot 75 jaar";"Percentages/gemiddelden";"2002";"0.0";"40.2";"59.8";"50.5";"9.4"
"Mannen";"65 tot 75 jaar";"Percentages/gemiddelden";"2003";"0.9";"36.6";"62.5";"51.0";"11.4"
"Mannen";"65 tot 75 jaar";"Percentages/gemiddelden";"2004";"1.0";"38.5";"60.5";"48.4";"12.1"
"Mannen";"65 tot 75 jaar";"Percentages/gemiddelden";"2005";"0.8";"35.9";"63.3";"50.5";"12.8"
"Mannen";"65 tot 75 jaar";"Percentages/gemiddelden";"2006";"0.3";"41.4";"58.4";"45.4";"12.9"
"Mannen";"65 tot 75 jaar";"Percentages/gemiddelden";"2007";"0.7";"38.9";"60.4";"46.0";"14.4"
"Mannen";"65 tot 75 jaar";"Percentages/gemiddelden";"2008";"0.0";"31.7";"68.3";"53.0";"15.3"
"Mannen";"65 tot 75 jaar";"Percentages/gemiddelden";"2009";"0.7";"36.5";"62.7";"48.6";"14.1"
"Mannen";"65 tot 75 jaar";"Percentages/gemiddelden";"2010";"0.5";"34.8";"64.7";"52.1";"12.6"
"Mannen";"65 tot 75 jaar";"Percentages/gemiddelden";"2011";"0.1";"36.2";"63.7";"50.5";"13.2"
"Mannen";"65 tot 75 jaar";"Percentages/gemiddelden";"2012";"0.3";"32.9";"66.8";"50.0";"16.9"
"Mannen";"65 tot 75 jaar";"Percentages/gemiddelden";"2013";"0.4";"33.2";"66.3";"50.8";"15.5"
"Mannen";"65 tot 75 jaar";"Percentages/gemiddelden";"2014";"0.0";"32.3";"67.7";"53.1";"14.6"
"Mannen";"65 tot 75 jaar";"Percentages/gemiddelden";"2015";"0.0";"33.7";"66.3";"49.5";"16.8"
"Mannen";"65 tot 75 jaar";"Percentages/gemiddelden";"2016";"0.0";"34.2";"65.8";"48.9";"16.9"
"Mannen";"75 jaar of ouder";"Percentages/gemiddelden";"1981";"0.6";"42.8";"56.6";"51.4";"5.1"
"Mannen";"75 jaar of ouder";"Percentages/gemiddelden";"1982";"0.6";"61.8";"37.6";"30.2";"7.5"
"Mannen";"75 jaar of ouder";"Percentages/gemiddelden";"1983";"1.0";"52.4";"46.6";"42.3";"4.3"
"Mannen";"75 jaar of ouder";"Percentages/gemiddelden";"1984";"2.2";"56.7";"41.1";"39.7";"1.4"
"Mannen";"75 jaar of ouder";"Percentages/gemiddelden";"1985";"2.5";"54.7";"42.8";"35.3";"7.5"
"Mannen";"75 jaar of ouder";"Percentages/gemiddelden";"1986";"3.0";"54.5";"42.4";"40.5";"2.0"
"Mannen";"75 jaar of ouder";"Percentages/gemiddelden";"1987";"1.9";"55.1";"43.0";"39.5";"3.5"
"Mannen";"75 jaar of ouder";"Percentages/gemiddelden";"1988";"0.6";"58.9";"40.5";"38.2";"2.3"
"Mannen";"75 jaar of ouder";"Percentages/gemiddelden";"1989";"2.4";"47.5";"50.0";"42.9";"7.2"
"Mannen";"75 jaar of ouder";"Percentages/gemiddelden";"1990";"0.5";"53.8";"45.7";"39.0";"6.7"
"Mannen";"75 jaar of ouder";"Percentages/gemiddelden";"1991";"4.5";"57.8";"37.7";"35.0";"2.6"
"Mannen";"75 jaar of ouder";"Percentages/gemiddelden";"1992";"0.9";"53.9";"45.3";"41.6";"3.7"
"Mannen";"75 jaar of ouder";"Percentages/gemiddelden";"1993";"1.8";"52.6";"45.6";"42.7";"2.8"
"Mannen";"75 jaar of ouder";"Percentages/gemiddelden";"1994";"0.5";"47.5";"52.0";"48.9";"3.1"
"Mannen";"75 jaar of ouder";"Percentages/gemiddelden";"1995";"2.0";"56.3";"41.7";"36.7";"5.0"
"Mannen";"75 jaar of ouder";"Percentages/gemiddelden";"1996";"2.2";"57.0";"40.8";"38.0";"2.8"
"Mannen";"75 jaar of ouder";"Percentages/gemiddelden";"1997";"0.8";"48.3";"50.8";"42.4";"8.5"
"Mannen";"75 jaar of ouder";"Percentages/gemiddelden";"1998";"1.9";"51.5";"46.6";"40.6";"6.0"
"Mannen";"75 jaar of ouder";"Percentages/gemiddelden";"1999";"0.5";"49.0";"50.5";"46.8";"3.7"
"Mannen";"75 jaar of ouder";"Percentages/gemiddelden";"2000";"1.2";"54.6";"44.1";"39.1";"5.0"
"Mannen";"75 jaar of ouder";"Percentages/gemiddelden";"2001";"1.9";"46.8";"51.4";"44.5";"6.8"
"Mannen";"75 jaar of ouder";"Percentages/gemiddelden";"2002";"0.8";"52.4";"46.9";"41.8";"5.1"
"Mannen";"75 jaar of ouder";"Percentages/gemiddelden";"2003";"2.5";"44.9";"52.6";"46.0";"6.6"
"Mannen";"75 jaar of ouder";"Percentages/gemiddelden";"2004";"0.7";"48.8";"50.5";"44.4";"6.1"
"Mannen";"75 jaar of ouder";"Percentages/gemiddelden";"2005";"0.4";"50.4";"49.2";"44.5";"4.7"
"Mannen";"75 jaar of ouder";"Percentages/gemiddelden";"2006";"0.6";"44.3";"55.2";"47.2";"7.9"
"Mannen";"75 jaar of ouder";"Percentages/gemiddelden";"2007";"2.3";"46.3";"51.4";"43.2";"8.2"
"Mannen";"75 jaar of ouder";"Percentages/gemiddelden";"2008";"0.4";"48.8";"50.8";"45.5";"5.3"
"Mannen";"75 jaar of ouder";"Percentages/gemiddelden";"2009";"0.6";"49.2";"50.2";"39.3";"10.9"
"Mannen";"75 jaar of ouder";"Percentages/gemiddelden";"2010";"2.0";"40.3";"57.7";"51.5";"6.1"
"Mannen";"75 jaar of ouder";"Percentages/gemiddelden";"2011";"0.3";"44.4";"55.4";"43.9";"11.5"
"Mannen";"75 jaar of ouder";"Percentages/gemiddelden";"2012";"1.0";"44.6";"54.3";"44.7";"9.7"
"Mannen";"75 jaar of ouder";"Percentages/gemiddelden";"2013";"1.1";"42.7";"56.3";"45.3";"11.0"
"Mannen";"75 jaar of ouder";"Percentages/gemiddelden";"2014";"0.6";"42.2";"57.2";"44.8";"12.4"
"Mannen";"75 jaar of ouder";"Percentages/gemiddelden";"2015";"0.4";"39.2";"60.3";"49.1";"11.2"
"Mannen";"75 jaar of ouder";"Percentages/gemiddelden";"2016";"0.0";"44.6";"55.4";"47.4";"8.0"
"© Centraal Bureau voor de Statistiek, Den Haag/Heerlen 10-11-2017"
