"Lengte en gewicht van personen, ondergewicht en overgewicht; vanaf 1981"
"";"";"";"Onderwerpen";"Onder- en overgewicht, 4 jaar of ouder";"Onder- en overgewicht, 4 jaar of ouder";"Onder- en overgewicht, 4 jaar of ouder";"Onder- en overgewicht, 4 jaar of ouder";"Onder- en overgewicht, 4 jaar of ouder"
"Totaal mannen en vrouwen";"20 jaar of ouder";"Percentages/gemiddelden";"1997";"2.0";"57.4";"40.6";"32.2";"8.4"
"Totaal mannen en vrouwen";"20 jaar of ouder";"Percentages/gemiddelden";"1998";"1.9";"57.5";"40.6";"32.0";"8.5"
"Totaal mannen en vrouwen";"20 jaar of ouder";"Percentages/gemiddelden";"1999";"1.9";"55.7";"42.4";"33.5";"8.9"
"Totaal mannen en vrouwen";"20 jaar of ouder";"Percentages/gemiddelden";"2000";"1.6";"54.1";"44.3";"34.6";"9.7"
"Totaal mannen en vrouwen";"20 jaar of ouder";"Percentages/gemiddelden";"2001";"1.7";"53.3";"44.9";"35.3";"9.6"
"Totaal mannen en vrouwen";"20 jaar of ouder";"Percentages/gemiddelden";"2002";"1.8";"53.2";"45.1";"35.0";"10.1"
"Totaal mannen en vrouwen";"20 jaar of ouder";"Percentages/gemiddelden";"2003";"1.8";"51.8";"46.3";"35.3";"11.1"
"Totaal mannen en vrouwen";"20 jaar of ouder";"Percentages/gemiddelden";"2004";"1.7";"51.4";"46.8";"35.5";"11.4"
"Totaal mannen en vrouwen";"20 jaar of ouder";"Percentages/gemiddelden";"2005";"1.7";"53.1";"45.2";"34.1";"11.1"
"Totaal mannen en vrouwen";"20 jaar of ouder";"Percentages/gemiddelden";"2006";"1.6";"51.7";"46.7";"35.1";"11.7"
"Totaal mannen en vrouwen";"20 jaar of ouder";"Percentages/gemiddelden";"2007";"1.8";"52.5";"45.7";"34.1";"11.6"
"Totaal mannen en vrouwen";"20 jaar of ouder";"Percentages/gemiddelden";"2008";"1.9";"51.0";"47.1";"35.6";"11.5"
"Totaal mannen en vrouwen";"20 jaar of ouder";"Percentages/gemiddelden";"2009";"1.6";"51.0";"47.4";"35.3";"12.1"
"Totaal mannen en vrouwen";"20 jaar of ouder";"Percentages/gemiddelden";"2010";"1.6";"50.1";"48.2";"36.8";"11.4"
"Totaal mannen en vrouwen";"20 jaar of ouder";"Percentages/gemiddelden";"2011";"1.5";"50.3";"48.2";"36.8";"11.4"
"Totaal mannen en vrouwen";"20 jaar of ouder";"Percentages/gemiddelden";"2012";"1.7";"50.4";"47.9";"35.9";"12.0"
"Totaal mannen en vrouwen";"20 jaar of ouder";"Percentages/gemiddelden";"2013";"1.7";"50.1";"48.2";"36.4";"11.8"
"Totaal mannen en vrouwen";"20 jaar of ouder";"Percentages/gemiddelden";"2014";"1.4";"48.3";"50.3";"36.7";"13.6"
"Totaal mannen en vrouwen";"20 jaar of ouder";"Percentages/gemiddelden";"2015";"1.6";"48.1";"50.3";"36.6";"13.7"
"Totaal mannen en vrouwen";"20 jaar of ouder";"Percentages/gemiddelden";"2016";"1.6";"48.1";"50.2";"35.8";"14.5"
"Totaal mannen en vrouwen";"20 tot 30 jaar";"Percentages/gemiddelden";"1981";"5.8";"79.7";"14.4";"12.7";"1.7"
"Totaal mannen en vrouwen";"20 tot 30 jaar";"Percentages/gemiddelden";"1982";"5.6";"80.4";"14.0";"12.2";"1.8"
"Totaal mannen en vrouwen";"20 tot 30 jaar";"Percentages/gemiddelden";"1983";"5.9";"78.5";"15.5";"13.7";"1.8"
"Totaal mannen en vrouwen";"20 tot 30 jaar";"Percentages/gemiddelden";"1984";"7.3";"77.9";"14.8";"13.4";"1.5"
"Totaal mannen en vrouwen";"20 tot 30 jaar";"Percentages/gemiddelden";"1985";"6.2";"78.5";"15.3";"13.6";"1.7"
"Totaal mannen en vrouwen";"20 tot 30 jaar";"Percentages/gemiddelden";"1986";"5.0";"79.8";"15.2";"13.8";"1.4"
"Totaal mannen en vrouwen";"20 tot 30 jaar";"Percentages/gemiddelden";"1987";"3.9";"78.4";"17.7";"15.6";"2.2"
"Totaal mannen en vrouwen";"20 tot 30 jaar";"Percentages/gemiddelden";"1988";"5.1";"78.1";"16.8";"15.1";"1.7"
"Totaal mannen en vrouwen";"20 tot 30 jaar";"Percentages/gemiddelden";"1989";"4.7";"79.1";"16.1";"13.5";"2.6"
"Totaal mannen en vrouwen";"20 tot 30 jaar";"Percentages/gemiddelden";"1990";"4.3";"77.1";"18.6";"16.0";"2.6"
"Totaal mannen en vrouwen";"20 tot 30 jaar";"Percentages/gemiddelden";"1991";"4.0";"80.3";"15.8";"13.5";"2.2"
"Totaal mannen en vrouwen";"20 tot 30 jaar";"Percentages/gemiddelden";"1992";"4.2";"77.0";"18.8";"16.0";"2.8"
"Totaal mannen en vrouwen";"20 tot 30 jaar";"Percentages/gemiddelden";"1993";"6.0";"73.7";"20.4";"17.5";"2.9"
"Totaal mannen en vrouwen";"20 tot 30 jaar";"Percentages/gemiddelden";"1994";"4.1";"73.7";"22.2";"18.9";"3.2"
"Totaal mannen en vrouwen";"20 tot 30 jaar";"Percentages/gemiddelden";"1995";"4.3";"74.6";"21.1";"17.5";"3.6"
"Totaal mannen en vrouwen";"20 tot 30 jaar";"Percentages/gemiddelden";"1996";"5.6";"74.9";"19.5";"16.0";"3.5"
"Totaal mannen en vrouwen";"20 tot 30 jaar";"Percentages/gemiddelden";"1997";"3.8";"74.2";"22.0";"18.0";"4.0"
"Totaal mannen en vrouwen";"20 tot 30 jaar";"Percentages/gemiddelden";"1998";"3.9";"71.8";"24.4";"19.3";"5.1"
"Totaal mannen en vrouwen";"20 tot 30 jaar";"Percentages/gemiddelden";"1999";"3.6";"70.2";"26.2";"21.7";"4.5"
"Totaal mannen en vrouwen";"20 tot 30 jaar";"Percentages/gemiddelden";"2000";"3.7";"72.7";"23.5";"19.2";"4.4"
"Totaal mannen en vrouwen";"20 tot 30 jaar";"Percentages/gemiddelden";"2001";"3.2";"72.6";"24.3";"20.6";"3.6"
"Totaal mannen en vrouwen";"20 tot 30 jaar";"Percentages/gemiddelden";"2002";"4.8";"69.9";"25.2";"21.0";"4.2"
"Totaal mannen en vrouwen";"20 tot 30 jaar";"Percentages/gemiddelden";"2003";"3.7";"69.5";"26.7";"21.6";"5.2"
"Totaal mannen en vrouwen";"20 tot 30 jaar";"Percentages/gemiddelden";"2004";"4.0";"68.8";"27.2";"21.6";"5.6"
"Totaal mannen en vrouwen";"20 tot 30 jaar";"Percentages/gemiddelden";"2005";"4.3";"72.6";"23.0";"18.5";"4.5"
"Totaal mannen en vrouwen";"20 tot 30 jaar";"Percentages/gemiddelden";"2006";"3.8";"69.3";"26.9";"22.3";"4.6"
"Totaal mannen en vrouwen";"20 tot 30 jaar";"Percentages/gemiddelden";"2007";"3.9";"71.4";"24.7";"18.9";"5.8"
"Totaal mannen en vrouwen";"20 tot 30 jaar";"Percentages/gemiddelden";"2008";"4.9";"70.0";"25.0";"19.2";"5.8"
"Totaal mannen en vrouwen";"20 tot 30 jaar";"Percentages/gemiddelden";"2009";"4.7";"67.2";"28.1";"21.2";"6.9"
"Totaal mannen en vrouwen";"20 tot 30 jaar";"Percentages/gemiddelden";"2010";"3.9";"70.6";"25.6";"19.9";"5.7"
"Totaal mannen en vrouwen";"20 tot 30 jaar";"Percentages/gemiddelden";"2011";"3.8";"68.8";"27.4";"22.1";"5.3"
"Totaal mannen en vrouwen";"20 tot 30 jaar";"Percentages/gemiddelden";"2012";"4.2";"70.7";"25.1";"19.4";"5.6"
"Totaal mannen en vrouwen";"20 tot 30 jaar";"Percentages/gemiddelden";"2013";"4.0";"70.0";"26.0";"20.3";"5.7"
"Totaal mannen en vrouwen";"20 tot 30 jaar";"Percentages/gemiddelden";"2014";"3.3";"68.7";"28.0";"20.9";"7.1"
"Totaal mannen en vrouwen";"20 tot 30 jaar";"Percentages/gemiddelden";"2015";"4.3";"66.9";"28.7";"23.1";"5.6"
"Totaal mannen en vrouwen";"20 tot 30 jaar";"Percentages/gemiddelden";"2016";"3.7";"67.0";"29.3";"22.0";"7.3"
"Totaal mannen en vrouwen";"30 tot 40 jaar";"Percentages/gemiddelden";"1981";"2.9";"71.3";"25.8";"22.3";"3.6"
"Totaal mannen en vrouwen";"30 tot 40 jaar";"Percentages/gemiddelden";"1982";"3.5";"71.1";"25.4";"21.7";"3.7"
"Totaal mannen en vrouwen";"30 tot 40 jaar";"Percentages/gemiddelden";"1983";"3.2";"71.5";"25.2";"21.9";"3.3"
"Totaal mannen en vrouwen";"30 tot 40 jaar";"Percentages/gemiddelden";"1984";"3.2";"69.2";"27.6";"23.4";"4.3"
"Totaal mannen en vrouwen";"30 tot 40 jaar";"Percentages/gemiddelden";"1985";"3.6";"69.3";"27.2";"24.3";"2.8"
"Totaal mannen en vrouwen";"30 tot 40 jaar";"Percentages/gemiddelden";"1986";"3.9";"69.6";"26.5";"23.0";"3.6"
"Totaal mannen en vrouwen";"30 tot 40 jaar";"Percentages/gemiddelden";"1987";"2.6";"69.6";"27.8";"24.6";"3.2"
"Totaal mannen en vrouwen";"30 tot 40 jaar";"Percentages/gemiddelden";"1988";"2.8";"72.7";"24.5";"20.7";"3.8"
"Totaal mannen en vrouwen";"30 tot 40 jaar";"Percentages/gemiddelden";"1989";"2.6";"70.6";"26.8";"22.3";"4.5"
"Totaal mannen en vrouwen";"30 tot 40 jaar";"Percentages/gemiddelden";"1990";"3.1";"67.4";"29.5";"24.4";"5.1"
"Totaal mannen en vrouwen";"30 tot 40 jaar";"Percentages/gemiddelden";"1991";"2.3";"68.9";"28.8";"24.1";"4.7"
"Totaal mannen en vrouwen";"30 tot 40 jaar";"Percentages/gemiddelden";"1992";"3.1";"68.7";"28.2";"23.5";"4.7"
"Totaal mannen en vrouwen";"30 tot 40 jaar";"Percentages/gemiddelden";"1993";"1.7";"67.8";"30.4";"25.5";"4.9"
"Totaal mannen en vrouwen";"30 tot 40 jaar";"Percentages/gemiddelden";"1994";"2.8";"67.2";"30.0";"24.8";"5.2"
"Totaal mannen en vrouwen";"30 tot 40 jaar";"Percentages/gemiddelden";"1995";"2.6";"66.5";"30.9";"25.7";"5.3"
"Totaal mannen en vrouwen";"30 tot 40 jaar";"Percentages/gemiddelden";"1996";"2.2";"67.1";"30.7";"25.6";"5.1"
"Totaal mannen en vrouwen";"30 tot 40 jaar";"Percentages/gemiddelden";"1997";"2.5";"63.7";"33.8";"27.6";"6.2"
"Totaal mannen en vrouwen";"30 tot 40 jaar";"Percentages/gemiddelden";"1998";"1.6";"65.2";"33.3";"25.7";"7.6"
"Totaal mannen en vrouwen";"30 tot 40 jaar";"Percentages/gemiddelden";"1999";"2.1";"63.2";"34.7";"28.2";"6.5"
"Totaal mannen en vrouwen";"30 tot 40 jaar";"Percentages/gemiddelden";"2000";"1.8";"61.1";"37.1";"29.5";"7.6"
"Totaal mannen en vrouwen";"30 tot 40 jaar";"Percentages/gemiddelden";"2001";"2.4";"56.9";"40.8";"31.7";"9.0"
"Totaal mannen en vrouwen";"30 tot 40 jaar";"Percentages/gemiddelden";"2002";"1.6";"58.6";"39.8";"31.7";"8.1"
"Totaal mannen en vrouwen";"30 tot 40 jaar";"Percentages/gemiddelden";"2003";"1.9";"57.0";"41.1";"31.2";"9.9"
"Totaal mannen en vrouwen";"30 tot 40 jaar";"Percentages/gemiddelden";"2004";"1.5";"55.2";"43.3";"33.7";"9.6"
"Totaal mannen en vrouwen";"30 tot 40 jaar";"Percentages/gemiddelden";"2005";"1.4";"57.8";"40.9";"31.6";"9.3"
"Totaal mannen en vrouwen";"30 tot 40 jaar";"Percentages/gemiddelden";"2006";"1.9";"55.0";"43.1";"32.4";"10.8"
"Totaal mannen en vrouwen";"30 tot 40 jaar";"Percentages/gemiddelden";"2007";"1.8";"57.0";"41.2";"31.0";"10.2"
"Totaal mannen en vrouwen";"30 tot 40 jaar";"Percentages/gemiddelden";"2008";"1.9";"55.0";"43.1";"32.8";"10.3"
"Totaal mannen en vrouwen";"30 tot 40 jaar";"Percentages/gemiddelden";"2009";"1.2";"58.4";"40.5";"30.9";"9.6"
"Totaal mannen en vrouwen";"30 tot 40 jaar";"Percentages/gemiddelden";"2010";"2.0";"56.8";"41.2";"32.2";"9.0"
"Totaal mannen en vrouwen";"30 tot 40 jaar";"Percentages/gemiddelden";"2011";"1.2";"56.8";"42.0";"33.4";"8.6"
"Totaal mannen en vrouwen";"30 tot 40 jaar";"Percentages/gemiddelden";"2012";"2.0";"55.2";"42.7";"32.9";"9.9"
"Totaal mannen en vrouwen";"30 tot 40 jaar";"Percentages/gemiddelden";"2013";"2.2";"54.2";"43.5";"33.4";"10.1"
"Totaal mannen en vrouwen";"30 tot 40 jaar";"Percentages/gemiddelden";"2014";"2.4";"55.2";"42.4";"32.5";"9.9"
"Totaal mannen en vrouwen";"30 tot 40 jaar";"Percentages/gemiddelden";"2015";"1.6";"56.5";"41.9";"32.7";"9.2"
"Totaal mannen en vrouwen";"30 tot 40 jaar";"Percentages/gemiddelden";"2016";"1.7";"56.8";"41.4";"29.4";"12.0"
"Totaal mannen en vrouwen";"40 tot 50 jaar";"Percentages/gemiddelden";"1981";"1.5";"61.0";"37.4";"31.6";"5.9"
"Totaal mannen en vrouwen";"40 tot 50 jaar";"Percentages/gemiddelden";"1982";"1.1";"61.7";"37.1";"32.1";"5.0"
"Totaal mannen en vrouwen";"40 tot 50 jaar";"Percentages/gemiddelden";"1983";"1.9";"62.0";"36.1";"31.0";"5.1"
"Totaal mannen en vrouwen";"40 tot 50 jaar";"Percentages/gemiddelden";"1984";"1.2";"62.2";"36.6";"30.6";"6.0"
"Totaal mannen en vrouwen";"40 tot 50 jaar";"Percentages/gemiddelden";"1985";"1.7";"61.2";"37.2";"31.0";"6.2"
"Totaal mannen en vrouwen";"40 tot 50 jaar";"Percentages/gemiddelden";"1986";"1.9";"57.0";"41.1";"35.8";"5.3"
"Totaal mannen en vrouwen";"40 tot 50 jaar";"Percentages/gemiddelden";"1987";"1.0";"59.8";"39.2";"32.5";"6.7"
"Totaal mannen en vrouwen";"40 tot 50 jaar";"Percentages/gemiddelden";"1988";"0.7";"62.8";"36.4";"31.3";"5.1"
"Totaal mannen en vrouwen";"40 tot 50 jaar";"Percentages/gemiddelden";"1989";"1.6";"59.9";"38.4";"31.9";"6.6"
"Totaal mannen en vrouwen";"40 tot 50 jaar";"Percentages/gemiddelden";"1990";"2.6";"61.1";"36.3";"29.8";"6.6"
"Totaal mannen en vrouwen";"40 tot 50 jaar";"Percentages/gemiddelden";"1991";"1.5";"59.5";"39.0";"32.6";"6.3"
"Totaal mannen en vrouwen";"40 tot 50 jaar";"Percentages/gemiddelden";"1992";"2.0";"58.2";"39.8";"32.9";"6.9"
"Totaal mannen en vrouwen";"40 tot 50 jaar";"Percentages/gemiddelden";"1993";"1.5";"58.9";"39.6";"32.5";"7.0"
"Totaal mannen en vrouwen";"40 tot 50 jaar";"Percentages/gemiddelden";"1994";"1.6";"58.6";"39.8";"32.2";"7.6"
"Totaal mannen en vrouwen";"40 tot 50 jaar";"Percentages/gemiddelden";"1995";"1.5";"58.6";"39.9";"32.5";"7.4"
"Totaal mannen en vrouwen";"40 tot 50 jaar";"Percentages/gemiddelden";"1996";"2.4";"55.3";"42.3";"34.6";"7.7"
"Totaal mannen en vrouwen";"40 tot 50 jaar";"Percentages/gemiddelden";"1997";"1.4";"56.2";"42.3";"34.4";"8.0"
"Totaal mannen en vrouwen";"40 tot 50 jaar";"Percentages/gemiddelden";"1998";"1.7";"56.3";"42.0";"33.9";"8.1"
"Totaal mannen en vrouwen";"40 tot 50 jaar";"Percentages/gemiddelden";"1999";"1.1";"54.5";"44.4";"34.6";"9.8"
"Totaal mannen en vrouwen";"40 tot 50 jaar";"Percentages/gemiddelden";"2000";"0.8";"51.4";"47.7";"37.3";"10.4"
"Totaal mannen en vrouwen";"40 tot 50 jaar";"Percentages/gemiddelden";"2001";"1.2";"52.8";"45.9";"36.1";"9.8"
"Totaal mannen en vrouwen";"40 tot 50 jaar";"Percentages/gemiddelden";"2002";"1.5";"53.5";"45.0";"35.5";"9.5"
"Totaal mannen en vrouwen";"40 tot 50 jaar";"Percentages/gemiddelden";"2003";"0.8";"54.6";"44.6";"34.4";"10.2"
"Totaal mannen en vrouwen";"40 tot 50 jaar";"Percentages/gemiddelden";"2004";"1.5";"51.1";"47.4";"34.6";"12.8"
"Totaal mannen en vrouwen";"40 tot 50 jaar";"Percentages/gemiddelden";"2005";"1.3";"54.8";"43.9";"32.9";"11.0"
"Totaal mannen en vrouwen";"40 tot 50 jaar";"Percentages/gemiddelden";"2006";"0.6";"52.0";"47.4";"35.8";"11.6"
"Totaal mannen en vrouwen";"40 tot 50 jaar";"Percentages/gemiddelden";"2007";"1.2";"51.6";"47.2";"35.7";"11.5"
"Totaal mannen en vrouwen";"40 tot 50 jaar";"Percentages/gemiddelden";"2008";"1.0";"51.6";"47.5";"36.1";"11.4"
"Totaal mannen en vrouwen";"40 tot 50 jaar";"Percentages/gemiddelden";"2009";"1.1";"50.8";"48.1";"36.3";"11.8"
"Totaal mannen en vrouwen";"40 tot 50 jaar";"Percentages/gemiddelden";"2010";"1.1";"47.8";"51.1";"38.7";"12.4"
"Totaal mannen en vrouwen";"40 tot 50 jaar";"Percentages/gemiddelden";"2011";"0.7";"48.0";"51.3";"40.3";"11.0"
"Totaal mannen en vrouwen";"40 tot 50 jaar";"Percentages/gemiddelden";"2012";"1.1";"48.9";"50.0";"37.8";"12.2"
"Totaal mannen en vrouwen";"40 tot 50 jaar";"Percentages/gemiddelden";"2013";"1.2";"49.9";"48.9";"37.9";"11.0"
"Totaal mannen en vrouwen";"40 tot 50 jaar";"Percentages/gemiddelden";"2014";"0.8";"45.5";"53.7";"39.0";"14.7"
"Totaal mannen en vrouwen";"40 tot 50 jaar";"Percentages/gemiddelden";"2015";"1.1";"46.3";"52.6";"35.7";"16.9"
"Totaal mannen en vrouwen";"40 tot 50 jaar";"Percentages/gemiddelden";"2016";"1.2";"45.3";"53.5";"39.1";"14.5"
"Totaal mannen en vrouwen";"50 tot 55 jaar";"Percentages/gemiddelden";"1981";"1.4";"52.4";"46.2";"38.3";"7.9"
"Totaal mannen en vrouwen";"50 tot 55 jaar";"Percentages/gemiddelden";"1982";"1.1";"51.8";"47.1";"40.5";"6.6"
"Totaal mannen en vrouwen";"50 tot 55 jaar";"Percentages/gemiddelden";"1983";"0.8";"53.2";"46.0";"38.4";"7.6"
"Totaal mannen en vrouwen";"50 tot 55 jaar";"Percentages/gemiddelden";"1984";"0.9";"54.1";"45.0";"38.2";"6.8"
"Totaal mannen en vrouwen";"50 tot 55 jaar";"Percentages/gemiddelden";"1985";"1.2";"58.1";"40.7";"33.6";"7.1"
"Totaal mannen en vrouwen";"50 tot 55 jaar";"Percentages/gemiddelden";"1986";"1.6";"54.7";"43.8";"36.6";"7.1"
"Totaal mannen en vrouwen";"50 tot 55 jaar";"Percentages/gemiddelden";"1987";"1.7";"54.2";"44.1";"38.8";"5.3"
"Totaal mannen en vrouwen";"50 tot 55 jaar";"Percentages/gemiddelden";"1988";"2.0";"49.8";"48.3";"38.4";"9.8"
"Totaal mannen en vrouwen";"50 tot 55 jaar";"Percentages/gemiddelden";"1989";"0.4";"52.0";"47.6";"38.9";"8.7"
"Totaal mannen en vrouwen";"50 tot 55 jaar";"Percentages/gemiddelden";"1990";"1.1";"52.1";"46.8";"35.8";"11.0"
"Totaal mannen en vrouwen";"50 tot 55 jaar";"Percentages/gemiddelden";"1991";"1.4";"50.5";"48.1";"40.1";"8.0"
"Totaal mannen en vrouwen";"50 tot 55 jaar";"Percentages/gemiddelden";"1992";"0.8";"50.4";"48.8";"39.1";"9.6"
"Totaal mannen en vrouwen";"50 tot 55 jaar";"Percentages/gemiddelden";"1993";"2.2";"53.1";"44.7";"37.4";"7.2"
"Totaal mannen en vrouwen";"50 tot 55 jaar";"Percentages/gemiddelden";"1994";"1.0";"47.7";"51.3";"40.2";"11.2"
"Totaal mannen en vrouwen";"50 tot 55 jaar";"Percentages/gemiddelden";"1995";"0.4";"49.0";"50.6";"40.5";"10.1"
"Totaal mannen en vrouwen";"50 tot 55 jaar";"Percentages/gemiddelden";"1996";"1.1";"47.7";"51.2";"39.2";"11.9"
"Totaal mannen en vrouwen";"50 tot 55 jaar";"Percentages/gemiddelden";"1997";"1.0";"47.4";"51.6";"40.7";"10.9"
"Totaal mannen en vrouwen";"50 tot 55 jaar";"Percentages/gemiddelden";"1998";"1.4";"47.6";"51.0";"38.8";"12.1"
"Totaal mannen en vrouwen";"50 tot 55 jaar";"Percentages/gemiddelden";"1999";"1.0";"47.3";"51.7";"39.4";"12.3"
"Totaal mannen en vrouwen";"50 tot 55 jaar";"Percentages/gemiddelden";"2000";"0.6";"44.1";"55.3";"41.9";"13.4"
"Totaal mannen en vrouwen";"50 tot 55 jaar";"Percentages/gemiddelden";"2001";"0.5";"42.2";"57.3";"45.4";"12.0"
"Totaal mannen en vrouwen";"50 tot 55 jaar";"Percentages/gemiddelden";"2002";"0.6";"43.2";"56.2";"42.1";"14.0"
"Totaal mannen en vrouwen";"50 tot 55 jaar";"Percentages/gemiddelden";"2003";"1.5";"42.3";"56.2";"41.3";"14.9"
"Totaal mannen en vrouwen";"50 tot 55 jaar";"Percentages/gemiddelden";"2004";"0.9";"46.7";"52.3";"38.2";"14.2"
"Totaal mannen en vrouwen";"50 tot 55 jaar";"Percentages/gemiddelden";"2005";"1.0";"48.1";"50.9";"38.3";"12.6"
"Totaal mannen en vrouwen";"50 tot 55 jaar";"Percentages/gemiddelden";"2006";"1.0";"49.0";"50.0";"36.2";"13.9"
"Totaal mannen en vrouwen";"50 tot 55 jaar";"Percentages/gemiddelden";"2007";"1.3";"45.0";"53.7";"39.7";"14.0"
"Totaal mannen en vrouwen";"50 tot 55 jaar";"Percentages/gemiddelden";"2008";"1.3";"45.9";"52.7";"41.2";"11.5"
"Totaal mannen en vrouwen";"50 tot 55 jaar";"Percentages/gemiddelden";"2009";"1.4";"43.1";"55.4";"39.6";"15.9"
"Totaal mannen en vrouwen";"50 tot 55 jaar";"Percentages/gemiddelden";"2010";"1.3";"46.8";"51.9";"40.0";"11.8"
"Totaal mannen en vrouwen";"50 tot 55 jaar";"Percentages/gemiddelden";"2011";"1.1";"42.6";"56.2";"40.4";"15.9"
"Totaal mannen en vrouwen";"50 tot 55 jaar";"Percentages/gemiddelden";"2012";"1.1";"46.8";"52.1";"38.0";"14.1"
"Totaal mannen en vrouwen";"50 tot 55 jaar";"Percentages/gemiddelden";"2013";"0.6";"43.9";"55.5";"43.4";"12.1"
"Totaal mannen en vrouwen";"50 tot 55 jaar";"Percentages/gemiddelden";"2014";"1.0";"42.3";"56.7";"41.8";"14.9"
"Totaal mannen en vrouwen";"50 tot 55 jaar";"Percentages/gemiddelden";"2015";"1.4";"40.9";"57.7";"41.4";"16.4"
"Totaal mannen en vrouwen";"50 tot 55 jaar";"Percentages/gemiddelden";"2016";"1.5";"41.7";"56.8";"38.4";"18.4"
"Totaal mannen en vrouwen";"55 tot 65 jaar";"Percentages/gemiddelden";"1981";"0.8";"51.4";"47.8";"38.1";"9.7"
"Totaal mannen en vrouwen";"55 tot 65 jaar";"Percentages/gemiddelden";"1982";"0.8";"49.3";"49.9";"41.7";"8.1"
"Totaal mannen en vrouwen";"55 tot 65 jaar";"Percentages/gemiddelden";"1983";"1.4";"49.1";"49.5";"42.5";"7.0"
"Totaal mannen en vrouwen";"55 tot 65 jaar";"Percentages/gemiddelden";"1984";"1.3";"51.6";"47.1";"38.6";"8.5"
"Totaal mannen en vrouwen";"55 tot 65 jaar";"Percentages/gemiddelden";"1985";"1.3";"49.4";"49.3";"41.8";"7.5"
"Totaal mannen en vrouwen";"55 tot 65 jaar";"Percentages/gemiddelden";"1986";"1.1";"49.9";"49.0";"39.7";"9.3"
"Totaal mannen en vrouwen";"55 tot 65 jaar";"Percentages/gemiddelden";"1987";"1.0";"50.2";"48.8";"41.1";"7.7"
"Totaal mannen en vrouwen";"55 tot 65 jaar";"Percentages/gemiddelden";"1988";"0.8";"48.4";"50.8";"43.8";"7.0"
"Totaal mannen en vrouwen";"55 tot 65 jaar";"Percentages/gemiddelden";"1989";"0.4";"46.1";"53.5";"42.7";"10.8"
"Totaal mannen en vrouwen";"55 tot 65 jaar";"Percentages/gemiddelden";"1990";"1.1";"47.2";"51.6";"42.8";"8.8"
"Totaal mannen en vrouwen";"55 tot 65 jaar";"Percentages/gemiddelden";"1991";"1.3";"48.1";"50.6";"41.8";"8.8"
"Totaal mannen en vrouwen";"55 tot 65 jaar";"Percentages/gemiddelden";"1992";"1.0";"47.2";"51.8";"42.0";"9.8"
"Totaal mannen en vrouwen";"55 tot 65 jaar";"Percentages/gemiddelden";"1993";"1.4";"48.8";"49.8";"40.6";"9.3"
"Totaal mannen en vrouwen";"55 tot 65 jaar";"Percentages/gemiddelden";"1994";"0.6";"44.6";"54.8";"43.3";"11.5"
"Totaal mannen en vrouwen";"55 tot 65 jaar";"Percentages/gemiddelden";"1995";"1.4";"45.8";"52.8";"42.7";"10.1"
"Totaal mannen en vrouwen";"55 tot 65 jaar";"Percentages/gemiddelden";"1996";"1.0";"45.8";"53.2";"43.5";"9.7"
"Totaal mannen en vrouwen";"55 tot 65 jaar";"Percentages/gemiddelden";"1997";"0.5";"45.0";"54.5";"40.8";"13.7"
"Totaal mannen en vrouwen";"55 tot 65 jaar";"Percentages/gemiddelden";"1998";"0.6";"44.9";"54.4";"43.8";"10.6"
"Totaal mannen en vrouwen";"55 tot 65 jaar";"Percentages/gemiddelden";"1999";"0.7";"43.9";"55.4";"41.9";"13.6"
"Totaal mannen en vrouwen";"55 tot 65 jaar";"Percentages/gemiddelden";"2000";"1.2";"40.9";"57.9";"44.7";"13.2"
"Totaal mannen en vrouwen";"55 tot 65 jaar";"Percentages/gemiddelden";"2001";"0.7";"44.0";"55.4";"43.3";"12.1"
"Totaal mannen en vrouwen";"55 tot 65 jaar";"Percentages/gemiddelden";"2002";"0.7";"40.9";"58.4";"41.5";"16.9"
"Totaal mannen en vrouwen";"55 tot 65 jaar";"Percentages/gemiddelden";"2003";"1.0";"40.0";"59.0";"44.2";"14.8"
"Totaal mannen en vrouwen";"55 tot 65 jaar";"Percentages/gemiddelden";"2004";"0.4";"41.2";"58.5";"43.9";"14.6"
"Totaal mannen en vrouwen";"55 tot 65 jaar";"Percentages/gemiddelden";"2005";"0.8";"38.5";"60.7";"44.6";"16.0"
"Totaal mannen en vrouwen";"55 tot 65 jaar";"Percentages/gemiddelden";"2006";"0.8";"42.5";"56.7";"41.3";"15.4"
"Totaal mannen en vrouwen";"55 tot 65 jaar";"Percentages/gemiddelden";"2007";"0.9";"44.5";"54.6";"39.9";"14.7"
"Totaal mannen en vrouwen";"55 tot 65 jaar";"Percentages/gemiddelden";"2008";"1.1";"41.6";"57.3";"41.9";"15.3"
"Totaal mannen en vrouwen";"55 tot 65 jaar";"Percentages/gemiddelden";"2009";"0.6";"42.1";"57.3";"42.9";"14.4"
"Totaal mannen en vrouwen";"55 tot 65 jaar";"Percentages/gemiddelden";"2010";"0.6";"40.5";"58.9";"43.3";"15.5"
"Totaal mannen en vrouwen";"55 tot 65 jaar";"Percentages/gemiddelden";"2011";"0.7";"43.1";"56.2";"42.1";"14.1"
"Totaal mannen en vrouwen";"55 tot 65 jaar";"Percentages/gemiddelden";"2012";"0.7";"43.0";"56.3";"41.9";"14.4"
"Totaal mannen en vrouwen";"55 tot 65 jaar";"Percentages/gemiddelden";"2013";"1.2";"42.5";"56.3";"41.1";"15.2"
